iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"133,414,175,708.62"
Shares Outstanding,"515,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.20","107.08","2,447,413.00","262,068,984.04","262,068,984.04","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.19","132.88","1,926,562.00","256,001,558.56","256,001,558.56","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.19","375.36","673,611.00","252,846,624.96","252,846,624.96","Health Care","2871301","US46120E6023","NASDAQ"
"PX","PRAXAIR INC","Equity","0.19","146.12","1,724,136.00","251,930,752.32","251,930,752.32","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.19","80.93","3,087,809.00","249,896,382.37","249,896,382.37","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.19","64.46","3,855,802.00","248,544,996.92","248,544,996.92","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.18","156.47","1,553,934.00","243,144,052.98","243,144,052.98","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.18","49.24","4,873,108.00","239,951,837.92","239,951,837.92","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.18","112.51","2,127,959.00","239,416,667.09","239,416,667.09","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.18","91.08","2,587,934.00","235,709,028.72","235,709,028.72","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.18","66.10","3,544,367.00","234,282,658.70","234,282,658.70","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.17","28.14","8,270,287.00","232,725,876.18","232,725,876.18","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.17","40.21","5,779,625.00","232,398,721.25","232,398,721.25","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.17","41.39","5,614,633.00","232,389,659.87","232,389,659.87","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.17","131.42","1,735,370.00","228,062,325.40","228,062,325.40","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.17","219.09","1,035,218.00","226,805,911.62","226,805,911.62","Consumer Staples","2170473","US21036P1084","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.17","37.64","5,994,838.00","225,645,702.32","225,645,702.32","Information Technology","2293819","US2786421030","NASDAQ"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.17","119.48","1,882,707.00","224,945,832.36","224,945,832.36","Consumer Discretionary","2210614","US5719032022","NASDAQ"
"HAL","HALLIBURTON","Equity","0.17","42.74","5,233,255.00","223,669,318.70","223,669,318.70","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.17","119.60","1,862,171.00","222,715,651.60","222,715,651.60","Information Technology","2310194","US2855121099","NASDAQ"
"HUM","HUMANA INC","Equity","0.17","255.35","871,238.00","222,470,623.30","222,470,623.30","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.17","146.23","1,518,246.00","222,013,112.58","222,013,112.58","Health Care","2931034","US92532F1003","NASDAQ"
"INTU","INTUIT INC","Equity","0.17","151.02","1,466,993.00","221,545,282.86","221,545,282.86","Information Technology","2459020","US4612021034","NASDAQ"
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.17","74.41","2,977,199.00","221,533,377.59","221,533,377.59","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.16","132.45","1,660,630.00","219,950,443.50","219,950,443.50","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.16","143.43","1,531,748.00","219,698,615.64","219,698,615.64","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.16","463.50","469,761.00","217,734,223.50","217,734,223.50","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"HPQ","HP INC","Equity","0.16","21.55","10,088,088.00","217,398,296.40","217,398,296.40","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.16","80.02","2,690,048.00","215,257,640.96","215,257,640.96","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.16","61.29","3,477,101.00","213,111,520.29","213,111,520.29","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"VLO","VALERO ENERGY CORP","Equity","0.16","78.89","2,657,505.00","209,650,569.45","209,650,569.45","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
