iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"124,393,508,123.36"
Shares Outstanding,"499,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.29","125.41","2,835,445.00","355,593,157.45","355,593,157.45","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.27","201.35","1,664,580.00","335,163,183.00","335,163,183.00","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.26","52.28","6,096,966.00","318,749,382.48","318,749,382.48","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.25","43.66","7,258,040.00","316,886,026.40","316,886,026.40","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.25","60.48","5,158,473.00","311,984,447.04","311,984,447.04","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.25","182.01","1,708,521.00","310,967,907.21","310,967,907.21","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.25","214.38","1,444,339.00","309,637,394.82","309,637,394.82","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.25","157.70","1,945,361.00","306,783,429.70","306,783,429.70","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.24","196.04","1,554,114.00","304,668,508.56","304,668,508.56","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.24","117.20","2,573,554.00","301,620,528.80","301,620,528.80","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.24","83.42","3,586,934.00","299,222,034.28","299,222,034.28","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.24","1.00","297,868,970.00","297,868,969.88","297,868,969.88","Cash and/or Derivatives","-","US0669224778","-"
