iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"101,821,854,272.44"
Shares Outstanding,"429,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.20","86.66","2,405,171.00","208,432,118.86","208,432,118.86","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.20","132.47","1,561,622.00","206,868,066.34","206,868,066.34","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.20","131.65","1,551,149.00","204,208,765.85","204,208,765.85","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"YHOO","YAHOO! INC","Equity","0.20","46.41","4,397,855.00","204,104,450.55","204,104,450.55","Information Technology","2986539","US9843321061","NASDAQ"
"CME","CME GROUP INC CLASS A","Equity","0.20","118.80","1,700,573.00","202,028,072.40","202,028,072.40","Financials","2965839","US12572Q1058","NASDAQ"
"ESRX","EXPRESS SCRIPTS HOLDING CO","Equity","0.20","65.91","3,042,163.00","200,508,963.33","200,508,963.33","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.19","42.12","4,698,502.00","197,900,904.24","197,900,904.24","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.19","23.70","8,341,374.00","197,690,563.80","197,690,563.80","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.19","183.44","1,065,208.00","195,401,755.52","195,401,755.52","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.19","59.86","3,228,252.00","193,243,164.72","193,243,164.72","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.19","73.89","2,580,378.00","190,664,130.42","190,664,130.42","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.19","146.49","1,287,837.00","188,655,242.13","188,655,242.13","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.18","59.52","3,045,105.00","181,244,649.60","181,244,649.60","Information Technology","2257019","US1924461023","NASDAQ"
"BBT","BB AND T CORP","Equity","0.18","44.70","4,047,868.00","180,939,699.60","180,939,699.60","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.18","59.87","2,984,573.00","178,686,385.51","178,686,385.51","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"PSX","PHILLIPS 66","Equity","0.17","79.22","2,209,054.00","175,001,257.88","175,001,257.88","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"APC","ANADARKO PETROLEUM CORP","Equity","0.17","62.00","2,800,694.00","173,643,028.00","173,643,028.00","Energy","2032380","US0325111070","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.17","49.86","3,479,921.00","173,508,861.06","173,508,861.06","Information Technology","2575818","US00507V1098","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.17","59.01","2,918,050.00","172,194,130.50","172,194,130.50","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.17","32.39","5,282,584.00","171,102,895.76","171,102,895.76","Consumer Discretionary","BBM4S68","US90130A1016","NASDAQ"
"EBAY","EBAY INC","Equity","0.17","33.57","5,086,069.00","170,739,336.33","170,739,336.33","Information Technology","2293819","US2786421030","NASDAQ"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.17","94.45","1,806,419.00","170,616,274.55","170,616,274.55","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.17","24.87","6,831,603.00","169,901,966.61","169,901,966.61","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.17","120.54","1,407,106.00","169,612,557.24","169,612,557.24","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.17","118.60","1,428,302.00","169,396,617.20","169,396,617.20","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.17","130.74","1,294,688.00","169,267,509.12","169,267,509.12","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.17","66.36","2,550,176.00","169,229,679.36","169,229,679.36","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.17","45.96","3,667,634.00","168,564,458.64","168,564,458.64","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"ETN","EATON CORPORATION PLC","Equity","0.16","74.15","2,255,079.00","167,214,107.85","167,214,107.85","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.16","35.98","4,635,766.00","166,794,860.68","166,794,860.68","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.16","53.76","3,082,658.00","165,723,694.08","165,723,694.08","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.16","67.13","2,463,664.00","165,385,764.32","165,385,764.32","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.16","125.34","1,315,453.00","164,878,879.02","164,878,879.02","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.16","218.91","748,189.00","163,786,053.99","163,786,053.99","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.16","111.97","1,455,922.00","163,019,586.34","163,019,586.34","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"DE","DEERE & CO","Equity","0.16","108.86","1,474,443.00","160,507,864.98","160,507,864.98","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
